"Variable","Mean (In Sample)","SE (In Sample)","Median (In Sample)","IQR (In Sample)","Mean (Not In Sample)","SE (Not In Sample)","Median (Not In Sample)","IQR (Not In Sample)","Difference in Means","P-value"
"pctbk1960",0.0537978425854817,0.00332562238719584,0.0449630785733461,0.0406084689311683,0.0574639473878149,0.00287337229424163,0.0503970794379711,0.0460249930620193,-0.00366610480233322,0.677871191521322
"pctbk1970",0.0615593730849591,0.00410160128634219,0.0523866936564445,0.0560429291799664,0.0557630796752432,0.00280975099136578,0.04848288372159,0.0508689135313034,0.00579629340971596,0.475697333241172
"pctbk1980",0.0564720535740564,0.00464603106627138,0.0405197851359844,0.070525148883462,0.0592774428166167,0.0030636755685357,0.0510380286723375,0.0566549198701978,-0.0028053892425603,0.715352337317115
"pctbk1990",0.0613902455411297,0.00471423626917939,0.0492032095789909,0.0751853920519352,0.0666287422281163,0.00331788441235916,0.0575635768473148,0.054182555526495,-0.00523849668698653,0.480305698470683
"dism2000",0.508961821043933,0.0137815172057122,0.533371448516846,0.269335366785526,0.488339216819087,0.00788537733355766,0.486682146787643,0.161814004182816,0.0206226042248456,0.22508787723569
"isol2000",0.176964463728601,0.0157002818250977,0.133446797728539,0.262920971028507,0.22023845129947,0.0103650912281502,0.205935202538967,0.262028723955154,-0.0432739875708693,0.0325814581608852
"cluster",0.177463681642606,0.0206403986434843,0.0670476034283638,0.245952010154724,0.20712640504189,0.0131837789089686,0.15957909822464,0.265624682419002,-0.0296627233992845,0.245344449204327
"concent",0.656272719772099,0.021599714903092,0.721148192882538,0.285452663898468,0.556199649710758,0.0177615775990452,0.629897832870483,0.444036714732647,0.100073070061341,0.000794233626133314
"central",0.769713905324374,0.0188501621584895,0.821998596191406,0.184072494506836,0.741148784014513,0.0145234089121563,0.803407669067383,0.225557744503021,0.0285651213098616,0.254424950351358
"_merge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
